source_zh	target_en
最鲜为人知的或许是欧洲大型强子对撞机中用于加速粒子的巨型磁体，而该设备则被利用来探索物质的基本原理。	Perhaps the most exotic are the huge magnets used to accelerate particles in the Large Hadron Collider, which seeks to discover the fundamental principles of matter.
但更有可能普京是因为国内原因才吞并了克里米亚 — — 为了将俄罗斯人的注意力从国家经济不景气上移开，也是为了一雪亲欧示威者推翻他所支持的乌克兰政府的耻辱。	But it is more likely that Putin acted for domestic reasons – to distract Russians’ attention from their country’s failing economy and to salve the humiliation of watching pro-European demonstrators oust the Ukrainian government he backed.
背后的操作机制在技术上非常复杂，但由此得出的结果却相当直接：那就是一页文字，其中包含10个蓝色的链接。	The engineering behind it was technically complicated, but what you got was pretty rough: a page of text, broken up by ten blue links.
银行必须改变奖励过度冒险的薪酬模式；保护揭发者；招聘和培训合乎职业伦理的员工；并确保董事会扮演更加活跃的监督角色。	Banks must change compensation practices that reward excessive risk; protect whistleblowers; recruit and train staff to reflect proper ethics; and ensure that their boards of directors play a more active oversight role.
更不用说新兴市场国家的政客们没能明白的一点：即便美国袖手旁观，单方面降低他们过度的进口限制也会是个好主意。	And this is not to mention emerging market politicians’ failure to grasp that unilaterally reducing their excessive import restrictions would be a good idea even if rich countries sat on their hands.
然而，如今看来，美国的银行反倒不是危机的最大受害者，其中颇有一些 — — 包括几家出了名的问题银行 — — 居然在危机中坐大，成了长时段上的赢家。	But the banks that were most affected were elsewhere, and the long-term winners will be a few American banks – including some of the most notoriously weak banks – which will get bigger as a result of the crisis.
“我们不会在意是亚美尼亚人还是土耳其人 — — 只会在意是不是最好的 ， ” 一位土耳其与会者这样说。	“We weren’t focused on being Armenian or Turkish – just on being the best,” a Turkish participant noted.
然而听任赤字无限扩大或在提振就业和增长的进一步刺激过程中不断累积也会招致衰退，因为债券市场上的“志愿巡逻队”会把借贷成本推得老高。	But recession could also result if deficits are allowed to fester, or are increased with additional stimulus to boost jobs and growth, because bond-market vigilantes might push borrowing costs higher.
比如，汇回海外收入所享受的免税期被称为“美国就业创造法 ” （ American Job Creation Act ） 。	For example, a tax holiday to repatriate foreign earnings was called the “American Job Creation Act.”
特朗普团队的计划必须认识到，在这一漫长的货币扩张期内，金融市场和资源配置都被扭曲了，这恶化了财富不平等程度。	The plan must recognize that, during this protracted period of monetary expansion, both financial markets and resource-allocation have been distorted, worsening wealth inequality.
吸引和留住这些外国人才在英国退出后将变得更加困难，流向英国的欧盟公认不再能够随身转移养老金权利，其他单一市场的便利条件也将失去。	Attracting and retaining this foreign talent will become harder after Brexit, when EU workers moving to Britain will no longer be able to take their pension rights with them, and the other conveniences of a single labor market are lost.
中国以其一贯的敏感应对石原慎太郎的主张：拒绝接受石原慎太郎之子、日本主要反对党自民党总干事的访问计划。	China reacted to Ishihara’s proposal with its usual sensitivity: it refused to receive the scheduled visit of Ishihara’s son, who is Secretary-General of Japan’s Liberal Democratic Party, the country’s main opposition party.
或者应该着眼于领袖的个人品质和治国方略，包括鼓舞国民奋发的魅力，甄选官员的眼光，制定和实施良好政策的能力？	Or are the proper criteria the leader’s character and competence, including his or her ability to inspire the country, choose good officials, formulate good policies, and implement them?
在5月22日突然造访巴格达时，布莱尔说他希望伊拉克军队到年底就能承担该国大部分国土的“领土安全”责任。	During a triumphal surprise visit to Baghdad on May 22, he said he expected Iraqi forces to take responsibility for “territorial security” in much of the country by the end of the year.
同样，古兰经规定必须有四名目击证人才能证实通奸罪，但仅仅怀疑一名女性可能发生过违法性行为就足以按照习惯法的规则对其处以石刑。	Similarly, whereas the Koran requires four eyewitnesses as proof of adultery, mere suspicion of some unregulated, potentially sexual conduct by a woman warrants stoning under customary law.
· 完善全面禁止核试验条约组织筹备委员会的监察体系，并争取所有国家的支持，使之成为一个阻止潜在核试验行为的有力手段。	· Complete the CTBTO’s verification regime, which all states should support as a powerful deterrent to any would-be nuclear testers.
据气候变化政府间委员会的数据，甲烷的吸热作用可以在20年时间里比二氧化碳厉害86倍，它造成了人为引起的变暖的五分之一。	According to the Intergovernmental Panel on Climate Change, methane is 86 times more potent than CO2 as a heat-trapping gas over a 20-year period, and is responsible for about a fifth of the warming caused by humans.
例如有些记者遭到逮捕，罪名是在“Ergenekon”组织的授意下撰写文章和书籍，但问题是官方在多年调查之后连这个所谓的恐怖组织是否存在都尚未弄清	For example, journalists have been imprisoned for producing articles and books at the behest of an alleged terrorist organization called “Ergenekon,” whose existence has yet to be confirmed, despite years of investigation.
在美国，预算自动减赤（sequester）和其他税收和支出政策导致了巨大的2012—2014年财政拖累。	In the US, a budget sequester and other tax and spending policies led to a sharp fiscal drag in 2012-2014.
只有少数国家在核不扩散条约框架外开发核武器，而全面禁止核试验条约让核试验的数量从十年平均500起下降到几乎为零。	Only a handful of countries have developed nuclear weapons outside of the NPT, and the CTBT has reduced the number of nuclear tests from an average of 500 per decade to a mere trickle.
而尽管不少政府项目物有所值 — — 联邦医疗保险（Medicare）就是一个很好的例子 — — 但不划算的项目数量更多。	And, though many government programs deliver good value for money – Medicare is a good example – far too many do not.
特朗普威胁要“永远”重谈北美自由贸易协定（NAFTA ） ， 撤销对外援助，还计划筑边境墙，而他的对手正在成为全球自由贸易和多边合作的领军者。	As Trump threatens to renegotiate NAFTA “forever,” slashes foreign aid, and plans border walls, his counterpart is emerging as the global champion of free trade and multilateral cooperation.
我们不需要等待十年去弄清楚欧盟是否可以帮助稳定乌克兰，同时还得面临领导层因其民主和法治精神的基本价值而感到威胁的俄罗斯。	We will not have to wait a decade to find out whether the EU can help to stabilize Ukraine while confronting a Russia whose leadership feels threatened by its fundamental values of democracy and the rule of law.
在美国总统特朗普威胁挑起贸易战、将欧洲拱手推给俄罗斯总统普京的复仇主义掠夺行为时，英国脱欧单干的时机非常危险。	And with US President Donald Trump threatening to start trade wars and abandon Europe to Russian President Vladimir Putin’s revanchist predations, this is an especially dangerous time for the UK to go it alone.
他强调降低国内税收，宣称这将释放新一波企业家精神；他提出要以保护主义方向重新谈判贸易协议，让就业机会留在美国。	He stresses cutting domestic taxes, which he asserts will unleash a new flurry of entrepreneurism, and renegotiating trade deals in a protectionist direction, to keep jobs in America.
萨默斯在最近的国际货币基金组织（IMF）会议上指出，到2005年左右，美国新投资的平均预期回报比可以预见的所有美联储基准利率降息都要低。	By the mid-2000’s, Summers argued at a recent International Monetary Fund conference, the average prospective return on new investment in the United States had fallen below any feasible reduction in the Federal Reserve’s benchmark interest rate.
但是，由于我们的努力和长期一起的共同生活，最重要的是，由于家人和好友的支持，我们从沮丧、愤怒到悲伤的情绪反应得到了缓解和升华。	But our emotional reactions, from frustration and anger to sadness, have been cushioned and sublimated by our work, the long rhythm of our days together, and, above all, by the support of family and close friends.
货币是一种公共产品，它允许每个人进行自由交换，而不必诉诸传统社会所依赖的那种模糊且低效的以物易物模式。	Money is a public good that allows individuals to enter into free exchange without having to resort to the kind of imprecise, inefficient bartering on which traditional societies depended.
艾滋病运动的教训可以写全整个字母表，但在H结尾比较合适，因为人权推动了艾滋病响应机制，也应该推动NCD响应机制。	The list of AIDS lessons could continue throughout the alphabet, but ending with “H” is apt, given that human rights drove the response, and should drive the response to NCDs.
尽管一些医院仍饱受人手不足之苦，但政府已经开始填补这一空缺，启动了一项从20多家美国机构聘请专家协助本国临床专家的计划。	While some hospitals still suffer from staff shortages, the government has sought to patch these holes through an initiative that employs faculty from over 20 US institutions to assist in training our clinical specialists.
那场名为伊拉克战争的历史性失败、世俗阿拉伯国家主义的终结和高涨的石油和天然气价格给该地区带来了深远的变化。	The historical failure named Iraq war, the demise of secular Arab nationalism and the soaring oil and gas prices have wrought profound changes in the region.
但如果欧盟国家开始竞争中国的市场份额，那么俄罗斯可能很快就会不敌诱惑而向北京的共产党政权出售他们最好的武器。	However, if EU countries start competing for a share of the Chinese market, the Russians could soon be tempted to sell their best arms to the communist regime in Beijing.
特朗普最主要的动机是服务于美国煤炭、石油和天然气行业的经济利益，上述行业为国会和州政府共和党人提供充足的竞选资金和媒体支持。	Trump’s overriding motivation is to serve the economic interests of the US coal, oil, and gas industries, which provide ample campaign financing and media backing for the Republicans in Congress and in state governments across the country.
肯尼迪讲话引起苏联总统赫鲁晓夫的积极响应，赫鲁晓夫召见美国特使，告诉他这是继富兰克林·罗斯福之后美国总统最精彩的讲话。	Kennedy’s speech provoked a highly positive response from his Soviet counterpart, Nikita Khrushchev, who called in the US envoy and told him that the speech was the finest by any American president since Franklin Roosevelt.
