source_zh	target_en
在此次地震发生一年多之后的2010年7月，检查官法比奥·皮库迪（Fabio Picuti）以误杀和玩忽职守罪对委员会成员提起公诉，认为他们未能将如此迫近的危险告知公众。	More than a year later, in July 2010, prosecutor Fabio Picuti charged the Commission members with manslaughter and negligence for failing to warn the public of the impending risk.
许多新兴经济体领导人担心本国资产价格出现泡沫和资本涌入导致货币升值压力，一时间怨声四起，巴西财政部长曼特加（Guido Mantega）称之为“国际货币战争 ” 。	Fearing domestic asset-price bubbles and upward pressure on their currencies from an inward rush of capital, many emerging-economy leaders complained loudly about what Brazilian Finance Minister Guido Mantega called an “international currency war.”
对于这一点，可能的原因有很多，但戈登描述了其中一种可能：作为基础的创新速度放慢了，这导致投资预期回报降低，从而拉低了利率。	There may be many reasons for this, but Gordon describes one possibility: The underlying pace of innovation has slowed, leading to lower expected returns on investment and thus forcing down interest rates.
首先，佐利克是将中国带入世界贸易组织的关键人物。 在布什政府中，国际主义者有时候看起来像是濒危物种，而佐利克就是一位确定无疑的国际主义者。	First, as a key player in bringing China into the World Trade Organization, Zoellick is a proven internationalist in an American administration where internationalists have sometimes seemed like an endangered species.
因此我的基金会拥有一个大学项目 — — 目前在九个国家的院校中推行 — — 目的就是将宗教从神学院的高墙背后解放出来，并开始研究其在当今世界上所扮演的角色。	So my Foundation has a university program – now underway in nine countries – that is designed to take religion out of the sole preserve of divinity schools and start analyzing its role in the world today.
我在2014年出版了一本关于美中之间经济依赖关系的书，并可能首先提出了下述观点：要将人类心理学的相关成果归纳延伸出来去评估国家经济行为。	While I published a book in 2014 on the codependent economic relationship between the US and China, I would be the first to concede that it is a stretch to generalize insights from human psychology to assess the behavior of national economies.
对伊拉克而言更重要的是，阿巴迪领导下的巴格达中央政府必须战胜数十年来分裂该国的宗派势力，在美国领导的侵略行动驱逐萨达姆侯赛因后，宗派势力大大增强。	More crucial for Iraq, the central government in Baghdad, led by Abadi, must overcome the sectarianism that has divided the country for decades, and that intensified in the aftermath of the United States-led invasion to oust Saddam Hussein.
如今两年过去了，已经兑现的承诺却比预期中要少得多，当前的伦齐更像是个政治稳定的担保人，而不是像他从前的绰号“rottamatore”那样成为一台横扫旧势力的推土机。	Two years later, far less change than expected has materialized, and Renzi has come to resemble a guarantor of political stability more than a rottamatore – a “scraper of the old,” as he had been nicknamed.
几年前，美国降低了资本收入的联邦税，并逐步取消了房地产遗产税，这只能让最顶层1%获益 — — 被广泛视为富人炫耀政治权力。	A few years ago, the US reduced federal taxes on capital income and phased out the estate tax, benefiting only the upper 1% – moves widely viewed as demonstrating the political power of the rich.
美国国务卿蒂勒森认识到世界“重心正在转向印度-太平洋心脏地带 ” ， 呼吁域内民主力量寻求“更大的参与和合作 ” 。	US Secretary of State Rex Tillerson, recognizing that the world’s “center of gravity is shifting to the heart of the Indo-Pacific,” called on the region’s democratic powers to pursue “greater engagement and cooperation.”
这一观点也是二战后初期的发展援助计划 — — 当时世界银行和双边捐助者向新独立国家输送资源以资助大型项目建设 — — 的理论基础。	It also lay behind early development assistance programs following World War II, when the World Bank and bilateral donors funneled resources to newly independent countries to finance large-scale projects.
此后，沃森又继续取得了大量成就，证明了认知计算可以使用大数据处理某些人类所面临的最困难的系统性问题的。	Since then, Watson has gone on to do much more, demonstrating how cognitive computing can use big data to tackle some of the most difficult systemic issues facing humanity.
因此，当意识形态与其势不两立的共和党反对派在其入主白宫的第一天就采取焦土政策，把这一愿景当着他的面踩得粉碎的时候，其拒绝合作并非只关乎政策，而是影响到了奥巴马的为人。	So, when an ideologically implacable Republican opposition, in his very first days in office, threw the vision back in his face, adopting a policy of scorched-earth opposition, the rejection was about more than policy – it affected his very being.
根据麻省理工学院十亿美元价格计划的估算，委内瑞拉1月份的食品价格通胀率达到了117.6 ％ ， 相当于每年1130000 ％ 。	According to estimates from MIT’s Billion Prices Project, month-on-month food inflation in Venezuela reached 117.6% in January, or the equivalent of 1,130,000% a year.
贝淡宁提出中国的威权主义 — — 特别是它的“精英政治 ” — —是一种可行的治理模式，甚至可能比印度和西方的民主制度还要好。	Bell argues that Chinese authoritarianism – specifically, its “political meritocracy” – is a viable model of governance, possibly even superior to the democracy of India and the West.
受糟糕的路况、不安全的社区或父母无法接送（或没车）等因素的制约，学生在放学后去同学家继续学习可能并不容易。	It might be difficult for a child to go to a classmate’s house to study after school, because of bad roads, unsafe neighborhoods, or parents who are working and cannot provide a lift (or do not own a car).
但是如果迄今为止在波斯尼亚或科索沃成功的国际干涉最终以悲剧告终的话，这样的说法就不会有那么大的说服力。	But this claim will be devalued if the so far successful international interventions in Bosnia or Kosovo end in tragedy.
波士顿—在2月的亚的斯亚贝巴，非洲各国卫生部长签署了一份广受欢迎的宣言，承诺将免疫作为拯救非洲儿童免遭死亡和疾病的措施的核心。	BOSTON – In February in Addis Ababa, African health ministers signed a widely celebrated declaration of their commitment to keeping immunization at the forefront of efforts to save the continent’s children from death and disease.
中国资产负债表上的资产一面非常巨大，通过私有化来对其进行收缩的策略已经被摈弃了，至少目前来说是如此。	In China, where the asset side of the balance sheet is large, the strategy of shrinking it via privatization has been largely rejected, at least for now.
债权人的坚持表明，欧元区决策者 — — 特别是德国人 — — 死守着一个概念框架，这个框架导致他们一直低估了情况的严重性、要求采取让情况雪上加霜的政策。	That insistence reflects the attachment of policymakers in the EU – especially in Germany – to a conceptual framework that has led them consistently to underestimate the gravity of the situation and recommend policies that make matters worse.
用技术官僚主导的国内联合政府取代由民选政治家主导的政府并不能从根本上改变国外要求意大利实施改革的事实。	A national-unity government run by a technocrat in place of an administration run by elected politicians does not qualitatively change the fact that outsiders are demanding reforms.
我们可以憧憬在以美元计价的证券热潮消退以后，目前以美国为目的地的金融流就会平缓地改道，从而推动亚洲的投资。	It would be nice to believe that when the tide of dollar-denominated securities ebbs, the flows of finance currently directed at America will smoothly shift course and boost investment in Asia.
他们是否会继续奉行以无核化为主的“战略耐心”政策，让朝鲜率先在其他领域采取行动，静候新领袖出现结果？	Will they wait to see what happens to the new leader, and thus continue their policy of “strategic patience,” which focuses mainly on denuclearization, and not move on to other areas until the North moves first?
牛津—在关于新闻的未来的争论中 ， “ 假新闻”是中心议题，其特色内容是一位慷慨激昂的美国总统，俄罗斯通讯“机器人 ” ， 以及为了争夺公共注意力的背叛和花招。	OXFORD – In the debate over the future of journalism, “fake news” has taken center stage, with storylines featuring a ranting American president, Russian communication “bots,” and betrayal and subterfuge competing for public attention.
向欧盟规则和监管的靠拢过程是痛苦的，但帮助波兰在20世纪90年代成为正常欧洲国家，如今也可以帮助乌克兰治理其贿赂、任人唯亲和裙带关系等问题。	The painstaking approximation of EU rules and regulation that helped Poland become a normal European country by the late 1990’s would offer Ukraine the prospect of taming its own demons of bribery, cronyism, and nepotism.
然而，在下次在2009年5月之前将要举行的全国大选中，可能会有一个贱民出来竞争总理的职位-她就是库·玛雅瓦提，印度最大的邦-北方邦-的女性首席部长。	Yet the next national elections, due before May 2009, may produce a plausible Dalit contender for the job of prime minister – Kumari Mayawati, the female chief minister of India’s largest state, Uttar Pradesh.
比如说，我们之所以坚决抵制伊朗的核能军事化，正是因为我们站在欧洲人的立场来考虑问题，而不是因为我们作为美国盟友的身份。	We should, for example, want to prevent the militarization of nuclear energy in Iran precisely because of our concern as Europeans, not because we are allies of the US.
麦肯锡全球研究所（McKinsey Global Institute）指出，除了跨国金融，全球流动与危机前一样强劲。	As the McKinsey Global Institute noted, with the exception of cross-border finance, global flows are just as robust now as they were before the crisis.
银行存在即便是很小程度的流动性紧缩的事实预示着集中管制程度较低的金融机构面临较大的流动性紧缩，而制造业和房地产公司则面临更大的流动性紧缩。	The fact that there is even a small liquidity crunch for banks implies larger liquidity crunches for less intensively regulated financial institutions, and even greater liquidity crunches for manufacturing and real-estate companies.
但如果一国不能通过偿债能力测试，IMF就会对其债券持有人施加足够规模的“剃头 ” （ haircut ） ， 以使其符合“高概率”标准从而能够得到IMF的援助。	But if a country fails the solvency test, it must impose a sufficiently deep haircut on its bondholders to bring it to the “high probability” standard needed to qualify for IMF assistance.
随着我们的社会变得越来越富裕，我们开始相信每个人都有资格获得某种最低标准，不管是在工作、生病或是失业问题上，从而使他们能够持续获得一定水平的安逸和成功。	As our societies have become richer, we have come to believe that everyone is entitled to a minimum standard, whether in work or sickness or unemployment, which allows for a continuing level of comfort and flourishing.
中国的领导人需要站出来并向焦躁不安的公众更清楚地阐明作为一个互相依存的世界上的成员所需具备的前景蓝图。	China’s leaders need to stand up and articulate more clearly to the country’s restive public this vision of membership in an interdependent world.
对全世界大部分国家来说，最大的挑战是确保2020年至少有90%的艾滋病毒阳性个体得到检测并了解自己被感染 — — 即第一个90。	For most of the world, the biggest challenge is ensuring that by 2020 at least 90% of HIV-positive individuals are tested and learn that they are infected – the first of the three 90s.
虽然必须实现跨境资本流动及汇率、利率市场化以保持经济增长，但是如果基准价格扭曲，这些改革将增加资产泡沫风险。	While cross-border capital flows and interest and exchange rates must be liberalized to maintain economic development, such reforms raise the risk of asset bubbles if implemented under distorted benchmark prices.
2006年召开的科尔多瓦峰会上，查韦斯和卡斯特罗大有比拼谁的讲话最长最漫无边际之势，峰会上弥漫着高涨的情绪。	At the 2006 summit in Córdoba, when Chávez and Fidel Castro dueled over who could deliver the longest and most rambling address, spirits were running high.
2013年鲁哈尼当选上台时，伊朗正遭遇35%的通胀，伊朗货币在此前一年中贬值了三分之二，还有国际制裁压得经济喘不过气来。	When Rouhani was elected in 2013, Iran was suffering from 35% inflation, the national currency had depreciated by two-thirds in the previous year, and international sanctions were crippling the economy.
不错，正是工薪阶层妇女和贫穷妇女的这种财务实用主义使得小额融资计划（把钱交到她们的手上）在发展中国家获得了成功。	Indeed, the financial pragmatism of working-class and poor women is the reason for the successes in the developing world of micro-financing that puts money in their hands.
分析结果显示如果印度拉贾斯坦邦要仿效其他邦豁免对两公顷以下土地所有者的正式贷款，那么付出的成本将达到1，174亿卢比（合17亿美元 ） 。	His analysis shows that if, for example, the Indian state of Rajasthan were to copy other states and waive formal loans for land holders with less than two hectares, this would cost 117.4 billion rupees ($1.7 billion).
疲软的增长、降低的通胀（拜油价进一步下跌所赐）和收紧的金融条件（通过美元升值、股市修正走势和信息利差扩大）正在威胁美国的增长和通胀预期。	Weaker growth, lower inflation (owing to a further decline in oil prices), and tighter financial conditions (via a stronger dollar, a corrected stock market, and wider credit spreads) now threaten US growth and inflation expectations.
