source_de	target_en
Die Wirtschafts- und Währungsunion befindet sich irreversibel auf dem Weg zur dritten Stufe.	Economic and monetary union is irrevocably on its way towards the third stage.
Es war mir wichtig, sie alle namentlich zu nennen, in Anerkennung der unglaublichen Unterstützung, die sie mir in dieser ersten Prozessphase zukommen haben lassen.	I wanted to name them all in recognition of the incredible support that they gave me during the first phase of this process.
Der Europäische Rat wird auf seiner Tagung im Juni voraussichtlich eine Bewertung des Erfüllungsstandes des Tampere-Programms beginnen, um so eine neue Phase der Fortentwicklung der Politik der Union im Bereich Justiz und Inneres einzuleiten.	The June European Council is likely to initiate an assessment of the achievements of the Tampere programme, with a view to launching a further development of the Union’s justice and home affairs policies.
Indem sie nur abgewrackte Schiffe berücksichtigt, ist die Kommission somit verantwortlich für bedeutende Einbußen, die Fischern und Reedern entstehen.	In considering only the boats destroyed, the Commission is thus behind a considerable loss of earnings to the detriment of fishermen and ship-owners.
Um sofortige Maßnahmen im Bereich seltener Krankheiten zu ergreifen, sind entsprechende Mittel bereit zu stellen.	Adequate resources need to be provided to ensure immediate action in the field of rare diseases.
Ich glaube, dass dies - obgleich wir nicht selbstgefällig sein sollten - ein Paket ist, das es uns ermöglicht, in New York mit gutem Beispiel voranzugehen.	I believe that, whilst we should not be complacent, it represents a package that will enable us to lead by example in New York.
Wir alle sind verpflichtet, klar und zuverlässig über den Inhalt und die Vorteile der Verfassung zu informieren.	All of us have a duty to make available clear and reliable information on what the Constitution does and the benefits it can bring.
Die Europäische Kommission muss gezielte Initiativen organisieren, die darauf abzielen, die Ausbeutung durch Kinderarbeit zu bekämpfen, und die Verschärfung der Kontrollmechanismen während dieses Vorgangs fordern.	The European Commission must organise targeted initiatives linked to the fight against the exploitation of child labour and call for the control mechanisms to be tightened up during this process.
Berichterstatterin. - (SV) Herr Präsident! Ich möchte noch einmal Kommissarin Vassiliou für Ihre Unterstützung in Bezug auf die Azofarbstoffe danken.	rapporteur. - (SV) Mr President, let me once again thank Commissioner Vassiliou for her support on azo dyes.
Herr Katiforis weist auch darauf hin, wie wichtig es ist, über die Dokumente der Kommission zu verfügen.	Mr Katiforis also refers to the need to have the Commission' s documents available.
Die Frauenrechte sind eingeschränkt, auch wenn die Situation weit besser ist als in anderen arabischen Staaten.	Women's rights are restricted although the situation is much better than in some other Arab states.
Deshalb freue ich mich, dass der Berichterstatter dies erkannt und die betreffende Übergangsfrist auf zwei Jahre verlängert hat.	I am pleased, therefore, that the rapporteur has recognised this by extending this transition phase to two years.
Durch haushaltspolitische Besonnenheit wird sich das Konsumklima zweifellos radikal ändern.	Without doubt, fiscal prudence implies a shake-up in the consumer climate.
Will man der Situation aber gerecht werden, darf man sich nicht allein auf religiöse Aspekte beschränken.	However, to do justice to the situation we cannot limit ourselves to religious aspects alone.
Wir wollen mehr Umweltschutz, eine stärkere Verlagerung des Warenverkehrs von der Straße auf die Schiene, mehr Ausgleich und damit mehr Schutz für den Konsumenten.	We want better environmental protection, more goods to be transferred from road to rail, a better modal balance and thus better protection for consumers.
Die europäische Industrie muss 2010 der wettbewerbsfähigste Wirtschaftsraum der Welt sein.	By 2010, European industry must be the world’s most competitive economy.
Das französische Volk fühlt sich getäuscht und hat alle Hoffnung in diesem allgemeinen Gerangel, das die Negation der Vergangenheit wie der Zukunft ist, aufgegeben.	The French people feel let down, and have given up all hope in this general free-for-all, which is a negation of both the past and the future.
Da Wissenschaftler sich hinsichtlich der Auswirkungen elektromagnetischer Felder auf die Gesundheit unserer Mitbürger nicht einig sind, sollten wir verantwortlich handeln und das Prinzip der Vorsorge anwenden.	As scientists do not agree on the consequences of electromagnetic fields for the health of our fellow citizens, we ought to be responsible and apply the precautionary principle.
Wir sprechen über die siebte Verlängerung der Sonderregelung für staatliche Beihilfen.	We are talking about the seventh extension of the special State aid regime.
Wenn Sie sich daran halten, können möglichst viele Redner zu Wort kommen.	If you stick to your time we can maximise the number of participants.
Es ist jedoch bedauernswert, dass eine allumfassende ökologische Footprint-Kennzeichnung nirgendwo vorgeschlagen wird, obwohl wir sie so rasch wie möglich einführen sollten.	However, it is regrettable that total ecological footprint labelling for products is not proposed anywhere, when we really should implement it as quickly as possible.
Das ist nicht die Einschätzung irgendeines linken Agitators, sondern die nüchterne Beurteilung des Oberhauses des britischen Parlaments – des angesehenen .	It is not the remark of some left-wing agitator, but a sober assessment by the upper chamber of the British Parliament – the respectable House of Lords.
Ein weiteres Problem ist die Unbestimmtheit dieses Finanzinstruments. Es können damit nämlich sowohl zivile als auch militärische Projekte finanziert werden.	Another problem is the vagueness of this financial instrument, for it is capable of being used to fund not only civilian but also military projects.
Meiner Ansicht nach ist es äußerst wichtig, in diesem Hohen Hause über einen Mechanismus zur Änderung der Tagesordnung zu verfügen, wenn eine dringliche Situation wie diese hier eintritt.	I think it is very important that we have some mechanism in the House to adjust the agenda when an urgent situation such as this arises.
Der Fairness halber sei gesagt, dass solche Taktiken überall angewandt werden, dass sie legal sind und dass man der Regierung der Ukraine im Falle einer Ablehnung dieser Kandidaten Lukaschenko-Methoden vorgeworfen hätte.	In fairness, such tactics occur everywhere, are legal, and the government of Ukraine would have faced Lukashenka-style criticism if these candidates had been rejected.
Bei den ersten Beratungen, die Anfang 1998 in Genf stattfanden, wurde klar bestätigt, daß die von der Kommission eingebrachte Klage begründet war.	From the initial consultations held in Geneva at the beginning of 1998 there emerged clear confirmation of the fact that the complaint lodged by the Commission was justified.
Für diese Staaten wird dies als Beweis dafür gelten, dass sich durch geduldig geführte Verhandlungen Ergebnisse erzielen lassen, die für beide Parteien annehmbar und vorteilhaft sind.	It will be proof for them that patience in negotiations brings results that are acceptable and beneficial to both sides.
Seit fünf Jahren fordere ich die Annahme dieses Systems durch das Parlament, denn es bietet die Gelegenheit, größere Transparenz an den Tag zu legen.	I have been asking for this system to be adopted by the Parliament for the last five years, as it provides an opportunity to demonstrate greater transparency.
Die UfM darf nicht länger durch den Konflikt im Nahen Osten blockiert oder gelähmt werden, gleichzeitig kann sie diesen aber auch nicht ignorieren.	The UfM cannot continue to be blocked or paralysed by the conflict in the Middle East but, at the same time, neither can it ignore it.
Die Herstellung des territorialen Zusammenhalts in einer Europäischen Union, die große Entwicklungsunterschiede aufweist, wird keine leichte Aufgabe sein.	Creating territorial cohesion in a European Union where there are great differences in levels of development will not be an easy task.
Im Intensivanbau hergestellte, geschmacksarme Produkte, die ansprechend aussehen, sind keine Qualitätsprodukte, was sogar die großen Supermärkte so langsam einsehen.	Intensively produced, bland-tasting produce that looks nice is not real quality as even the big supermarkets are beginning to acknowledge.
Doch diese Reise konnte nicht stattfinden, da die usbekischen Behörden die Ausstellung eines Visums verweigerten.	His mission had to be aborted because the Uzbek authorities refused to grant him a visa.
Außerdem ist es leichter, den Begleiterscheinungen von Glücksspielen in Ländern entgegenzuwirken, in denen der Staat ein Monopol hat.	It is also easier to counter the side-effects of gambling in countries where the state has a monopoly.
Es würde eine Zone europäisch orientierter Länder entstehen, und es ließe sich ein für allemal das Dilemma zwischen ständiger Erweiterung und Vertiefung der Europäischen Union lösen.	It would create a zone of European-orientated countries and would resolve once and for all the dilemma between the constant enlargement and the deepening of the European Union.
Jordanien ist ein Land, daß bei dem in Barcelona eingeleiteten Prozeß zur Einführung eines Dialogs und auch darüber hinaus eine konstruktive Einstellung bewiesen hat.	Jordan is a country that has maintained a constructive attitude in the dialogue process signed in Barcelona and has continued along the same road since.
